UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN
483230,R,201,R,195,R,6,R,4,R,4,R,0,R,8,R,8,R,0,R,4,R,4,R,0,R,70,R,68,R,2,R,0,R,0,R,0,R,98,R,95,R,3,R,17,R,16,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,201.0
483258,R,25,R,22,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,25,R,22,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,25.0
483276,R,36,R,28,R,8,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,24,R,19,R,5,R,7,R,5,R,2,Z,0,Z,0,Z,0,R,4,R,3,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,36.0
483328,R,42,R,1,R,41,R,1,R,0,R,1,R,1,R,0,R,1,R,4,R,0,R,4,R,8,R,1,R,7,R,0,R,0,R,0,R,27,R,0,R,27,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,R,0.0,R,0.0,A,,A,,A,,R,0,R,0.0,R,0.0,R,42.0
483337,R,74,R,4,R,70,R,1,R,1,R,0,R,3,R,1,R,2,R,5,R,0,R,5,R,5,R,0,R,5,R,0,R,0,R,0,R,59,R,2,R,57,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,74.0
483346,R,88,R,5,R,83,R,1,Z,0,R,1,R,10,R,2,R,8,R,18,R,1,R,17,R,20,Z,0,R,20,Z,0,Z,0,Z,0,R,35,R,2,R,33,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,88.0
483355,R,95,R,5,R,90,Z,0,Z,0,Z,0,R,2,R,1,R,1,R,57,R,4,R,53,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,30,Z,0,R,30,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,95.0
483364,R,73,R,3,R,70,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,49,R,2,R,47,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,18,R,1,R,17,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,73.0
483373,R,59,R,2,R,57,R,2,Z,0,R,2,R,5,Z,0,R,5,Z,0,Z,0,Z,0,R,49,R,2,R,47,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,S,,S,,A,,A,,A,,R,0,S,,S,,S,
483382,R,290,R,286,R,4,R,2,R,2,Z,0,R,10,R,9,R,1,R,50,R,49,R,1,R,109,R,107,R,2,R,1,R,1,Z,0,R,108,R,108,Z,0,Z,0,Z,0,Z,0,R,10,R,10,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,290.0
483425,R,35,R,1,R,34,R,2,Z,0,R,2,R,0,Z,0,R,0,R,4,Z,0,R,4,R,1,Z,0,R,1,R,0,Z,0,R,0,R,27,R,1,R,26,R,1,Z,0,R,1,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,35.0
483470,R,102,R,17,R,85,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,102,R,17,R,85,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,102.0
483504,R,216,R,61,R,155,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,121,R,27,R,94,R,39,R,15,R,24,R,1,Z,0,R,1,R,18,R,13,R,5,R,10,R,1,R,9,R,27,R,5,R,22,R,0,R,0,Z,0,R,0.0,S,,S,,A,,A,,A,,R,0,S,,S,,S,
483513,R,23,R,13,R,10,R,0,R,0,R,0,R,0,R,0,R,0,R,6,R,3,R,3,R,13,R,7,R,6,R,0,R,0,R,0,R,1,R,1,R,0,R,3,R,2,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,23.0
483559,R,28,R,2,R,26,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,2,R,1,R,4,R,0,R,4,R,0,R,0,R,0,R,21,R,0,R,21,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,28.0
483577,R,48,R,3,R,45,R,0,R,0,R,0,R,4,R,1,R,3,R,6,R,1,R,5,R,1,R,0,R,1,R,0,R,0,R,0,R,31,R,1,R,30,R,3,R,0,R,3,R,3,R,0,R,3,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,48.0
483595,R,1999,R,502,R,1497,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1344,R,322,R,1022,Z,0,Z,0,Z,0,R,195,R,63,R,132,Z,0,Z,0,Z,0,R,369,R,91,R,278,R,90,R,26,R,64,R,5.0,S,,S,,R,0.0,S,,S,,R,5,S,,S,,S,
