UNITID,INSTNM,YEAR,CSTOTLT,F1C191,OUTCOME_EFFICIENCY_INDEX
156107,Wichita State University-Campus of Applied Sciences and Technology,2021,1099,34052493,3.227370166407493
156107,Wichita State University-Campus of Applied Sciences and Technology,2022,1302,39616399,3.2865177877474427
156107,Wichita State University-Campus of Applied Sciences and Technology,2023,1469,44746901,3.2829089102729148
156107,Wichita State University-Campus of Applied Sciences and Technology,2024,1522,51321482,2.9656197379491105
