UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN
364946,R,77,R,39,R,38,R,22,R,12,R,10,R,1,Z,0,R,1,R,2,Z,0,R,2,R,14,R,6,R,8,Z,0,Z,0,Z,0,R,37,R,20,R,17,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1.0,A,,R,1.0,Z,0.0,A,,Z,0.0,R,1,A,,R,1.0,R,76.0
364964,R,20,R,4,R,16,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,1,R,2,R,2,R,1,R,1,R,0,R,0,R,0,R,14,R,2,R,12,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,20.0
365091,R,203,R,17,R,186,R,1,R,0,R,1,R,4,R,0,R,4,R,112,R,13,R,99,R,36,R,2,R,34,R,0,R,0,R,0,R,24,R,2,R,22,R,19,R,0,R,19,R,7,R,0,R,7,R,0,R,0,Z,0,R,0.0,A,,R,0.0,Z,0.0,A,,Z,0.0,R,0,A,,R,0.0,R,203.0
365125,R,231,R,5,R,226,R,2,Z,0,R,2,R,5,Z,0,R,5,R,7,Z,0,R,7,R,124,R,2,R,122,R,3,Z,0,R,3,R,71,R,2,R,69,R,14,R,1,R,13,R,5,Z,0,R,5,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,Z,0.0,A,,Z,0.0,R,0,A,,R,0.0,R,231.0
365198,R,414,R,217,R,197,R,49,R,26,R,23,R,3,R,2,R,1,R,11,R,5,R,6,R,46,R,20,R,26,R,0,R,0,R,0,R,204,R,108,R,96,R,70,R,37,R,33,R,31,R,19,R,12,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,414.0
365213,R,290,R,136,R,154,R,4,R,3,R,1,R,2,R,0,R,2,R,2,R,1,R,1,R,74,R,34,R,40,R,2,R,1,R,1,R,187,R,91,R,96,R,12,R,3,R,9,R,7,R,3,R,4,Z,0,Z,0,Z,0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0,R,0.0,R,0.0,R,290.0
365240,R,28,R,22,R,6,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,26,R,20,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,28.0
365374,R,575,R,312,R,263,R,63,R,32,R,31,R,18,R,8,R,10,R,35,R,12,R,23,R,86,R,41,R,45,R,4,R,3,R,1,R,369,R,216,R,153,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,Z,0.0,A,,Z,0.0,R,0,A,,R,0.0,R,575.0
365383,R,39,R,5,R,34,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,Z,0,R,3,R,7,R,2,R,5,Z,0,Z,0,Z,0,R,27,R,2,R,25,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,39.0
365480,R,437,R,235,R,202,R,33,R,15,R,18,R,7,R,3,R,4,R,12,R,5,R,7,R,26,R,16,R,10,R,1,R,0,R,1,R,308,R,172,R,136,R,39,R,23,R,16,R,11,R,1,R,10,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,437.0
